town,age,job,married,education,arrears,housing,target
Eastbourne,39,services,divorced,secondary,no,yes,no
Sutton Coldfield,37,management,married,primary,no,no,no
Cambridge,35,management,married,secondary,no,yes,no
Lincoln,60,management,married,tertiary,no,no,no
Telford,28,services,single,secondary,no,no,yes
Eastbourne,59,admin.,single,secondary,no,yes,yes
Northampton,35,unemployed,married,secondary,no,yes,no
Huddersfield,54,retired,married,secondary,no,yes,no
Belfast,22,student,single,secondary,no,no,yes
St Albans,35,management,married,tertiary,no,no,no
Glasgow,41,services,divorced,secondary,no,yes,no
Birmingham,45,admin.,married,secondary,no,yes,no
Belfast,31,admin.,married,secondary,no,yes,no
Hemel Hempstead,45,management,married,tertiary,no,yes,yes
Sheffield,39,technician,divorced,secondary,no,no,no
Doncaster,60,technician,married,secondary,no,no,yes
Grimsby,56,retired,married,secondary,no,no,no
Bath,31,technician,single,tertiary,no,yes,no
Wakefield,38,services,single,tertiary,no,yes,no
Edinburgh,32,admin.,married,secondary,no,no,no
Reading,47,admin.,married,secondary,no,yes,no
Coventry,45,technician,married,secondary,no,yes,no
Milton Keynes,60,retired,married,tertiary,no,no,yes
Newcastle upon Tyne,25,blue-collar,single,secondary,no,yes,yes
Liverpool,33,technician,married,secondary,no,yes,no
Preston,28,admin.,single,secondary,no,no,yes
Milton Keynes,62,housemaid,married,tertiary,no,no,yes
Bath,64,retired,married,unknown,no,no,yes
Stoke-on-Trent,34,technician,single,secondary,no,yes,yes
Nottingham,59,retired,married,secondary,no,yes,yes
Birmingham,30,management,single,tertiary,no,no,yes
Maidstone,37,technician,married,secondary,no,no,no
Nottingham,30,blue-collar,married,primary,no,yes,no
Barnsley,56,admin.,married,secondary,no,yes,no
London,49,management,single,tertiary,no,yes,yes
Oldham,40,management,married,tertiary,no,no,no
Bristol,38,management,single,tertiary,no,yes,no
Weston-super-Mare,33,services,single,secondary,no,yes,no
Hastings,28,management,married,tertiary,no,no,no
Aberdeen,76,retired,married,secondary,no,no,no
Exeter,26,self-employed,single,secondary,no,yes,no
Eastbourne,40,blue-collar,married,secondary,no,yes,no
Liverpool,47,entrepreneur,married,secondary,no,no,no
Bristol,35,admin.,married,secondary,no,yes,yes
County Down,39,technician,married,secondary,no,yes,no
Raleigh,64,retired,married,unknown,no,no,yes
Leeds,42,technician,married,secondary,no,no,no
Bristol,31,management,single,tertiary,no,no,no
St Albans,45,admin.,single,secondary,no,yes,no
St Helens,44,services,divorced,secondary,no,yes,yes
Bolton,27,services,single,secondary,no,no,no
Doncaster,39,management,married,secondary,no,yes,no
Basingstoke,47,blue-collar,married,secondary,no,yes,yes
Glasgow,30,blue-collar,married,secondary,no,yes,no
Slough,25,services,single,secondary,no,no,no
London,29,management,single,tertiary,no,no,yes
Bristol,41,management,married,tertiary,no,no,no
St Albans,54,retired,divorced,tertiary,no,no,yes
Peterborough,34,management,married,tertiary,no,yes,no
Manchester,54,management,divorced,tertiary,no,no,no
Bath,33,services,single,secondary,no,yes,no
Bradford,57,management,divorced,unknown,no,no,yes
St Helens,33,technician,married,tertiary,no,no,no
Colchester,50,technician,single,secondary,no,yes,no
Eastbourne,39,services,divorced,primary,no,yes,no
Derby,66,technician,married,secondary,no,no,yes
London,44,blue-collar,single,primary,no,yes,yes
Sutton Coldfield,22,student,single,secondary,no,no,yes
Basingstoke,37,blue-collar,married,secondary,no,yes,no
Basingstoke,33,technician,divorced,secondary,yes,no,no
Plymouth,56,retired,married,secondary,no,no,yes
Bedford,35,services,married,secondary,no,yes,no
Salford,76,retired,married,primary,no,no,yes
London,71,retired,married,secondary,no,no,no
Chelmsford,39,services,married,secondary,no,no,no
Edinburgh,37,technician,single,tertiary,no,no,yes
Gillingham,34,management,married,tertiary,no,no,no
Bristol,46,technician,married,secondary,no,yes,no
Luton,36,management,divorced,tertiary,yes,no,yes
Stoke-on-Trent,32,blue-collar,married,secondary,no,yes,yes
High Wycombe,33,technician,married,secondary,no,yes,no
Portsmouth,48,admin.,married,secondary,no,yes,no
Weston-super-Mare,69,retired,divorced,tertiary,no,no,yes
Portsmouth,34,unemployed,single,secondary,no,no,yes
High Wycombe,29,housemaid,single,tertiary,no,no,yes
Dundee,35,technician,single,tertiary,no,yes,yes
Telford,56,unemployed,married,secondary,no,no,yes
St Albans,57,management,married,tertiary,no,yes,no
Ipswich,53,management,married,unknown,no,yes,yes
Crawley,32,technician,single,tertiary,no,no,yes
Colchester,33,unemployed,single,tertiary,no,yes,no
London,31,blue-collar,divorced,primary,no,yes,no
Birmingham,36,management,married,tertiary,no,no,yes
Gloucester,41,services,divorced,tertiary,no,yes,yes
Salford,52,retired,divorced,tertiary,no,yes,yes
Bournemouth,58,entrepreneur,married,tertiary,no,yes,yes
Glasgow,49,services,married,secondary,no,yes,no
Glasgow,49,management,married,secondary,no,no,no
Leeds,33,blue-collar,single,primary,no,yes,no
Darlington,33,services,married,secondary,no,yes,no
Birmingham,35,management,married,tertiary,no,no,no
Peterborough,59,retired,married,primary,no,no,no
Blackpool,29,student,single,tertiary,no,no,yes
Preston,32,management,married,tertiary,no,no,yes
Southend-on-Sea,55,management,married,tertiary,no,no,yes
Gloucester,42,services,married,secondary,no,yes,yes
York,31,management,married,tertiary,no,yes,no
Stevenage,87,retired,married,secondary,no,no,no
Gateshead,58,services,married,secondary,no,no,no
Derby,33,services,married,secondary,no,yes,yes
Portsmouth,36,blue-collar,single,secondary,no,yes,no
Maidstone,42,blue-collar,married,secondary,no,yes,no
Glasgow,34,technician,married,secondary,no,yes,yes
London,44,blue-collar,married,secondary,no,yes,no
Bristol,34,management,single,tertiary,no,yes,yes
Birmingham,53,retired,married,primary,no,yes,no
Manchester,64,management,married,tertiary,no,no,yes
Stevenage,30,technician,divorced,secondary,no,yes,no
Telford,34,self-employed,married,tertiary,no,yes,no
Basildon,30,admin.,married,secondary,no,no,no
Manchester,25,services,single,tertiary,no,no,yes
Maidstone,54,self-employed,married,secondary,no,yes,no
Bristol,27,blue-collar,married,primary,no,yes,no
Southampton,46,blue-collar,divorced,secondary,no,no,no
Basildon,58,blue-collar,married,secondary,no,no,yes
St Helens,47,technician,married,secondary,no,no,no
Newport,38,technician,single,tertiary,no,no,no
Bristol,39,admin.,married,secondary,no,no,yes
Stockport,73,retired,married,primary,no,no,yes
Northampton,34,technician,married,secondary,no,no,no
Basildon,77,retired,married,tertiary,no,no,yes
Peterborough,32,admin.,single,secondary,no,no,no
St Helens,27,student,single,tertiary,no,no,yes
Huddersfield,29,self-employed,single,tertiary,no,no,no
Manchester,37,management,married,tertiary,no,no,no
Glasgow,27,management,single,unknown,no,no,no
Bedford,37,admin.,single,tertiary,no,yes,yes
Birmingham,30,services,single,secondary,no,yes,yes
Sheffield,28,blue-collar,single,secondary,no,yes,no
Birmingham,35,blue-collar,divorced,primary,no,no,no
Birmingham,45,entrepreneur,married,secondary,no,no,yes
Manchester,31,management,single,tertiary,no,no,yes
Bristol,48,blue-collar,married,secondary,no,no,no
Gateshead,54,management,married,tertiary,no,no,no
Glasgow,39,self-employed,divorced,secondary,no,yes,no
Bristol,56,management,married,tertiary,no,no,yes
Portsmouth,49,unknown,married,primary,no,yes,yes
Oldham,24,student,single,secondary,no,no,yes
Gloucester,57,housemaid,divorced,primary,no,no,no
Southend-on-Sea,34,technician,single,secondary,no,no,no
Huddersfield,59,unemployed,married,secondary,no,no,yes
Exeter,29,management,married,tertiary,no,yes,no
Stoke-on-Trent,61,self-employed,divorced,tertiary,no,no,yes
Exeter,26,management,single,tertiary,no,no,yes
Eastbourne,35,blue-collar,married,secondary,no,yes,no
Stockport,43,blue-collar,divorced,primary,no,no,no
Bournemouth,48,management,single,tertiary,no,no,yes
Grimsby,44,technician,married,secondary,no,no,no
Aberdeen,24,blue-collar,single,secondary,no,no,yes
Basildon,28,services,single,secondary,no,yes,yes
Manchester,30,services,divorced,secondary,no,yes,yes
Crawley,29,management,single,tertiary,no,yes,yes
Sutton Coldfield,60,retired,married,secondary,no,yes,yes
Birmingham,34,unemployed,married,secondary,no,yes,no
Southend-on-Sea,43,management,married,tertiary,no,yes,no
Kingston upon Hull,54,technician,divorced,secondary,no,yes,no
Wigan,52,retired,married,primary,no,no,no
Darlington,33,admin.,married,secondary,no,yes,yes
Warrington,34,blue-collar,single,secondary,no,yes,yes
Wolverhampton,46,services,divorced,secondary,no,no,yes
Birmingham,59,retired,divorced,secondary,no,yes,no
York,37,management,married,tertiary,no,no,yes
London,34,admin.,married,secondary,no,yes,no
London,41,technician,married,secondary,no,yes,yes
Luton,42,management,married,tertiary,no,yes,no
Birmingham,28,management,single,tertiary,no,yes,yes
Basildon,30,technician,married,tertiary,no,yes,yes
Exeter,31,management,divorced,tertiary,no,no,yes
Southampton,61,retired,married,secondary,no,no,yes
Cardiff,32,admin.,married,tertiary,no,no,yes
Leicester,47,unemployed,single,secondary,no,no,no
Basildon,48,blue-collar,divorced,primary,no,yes,yes
Sunderland,26,blue-collar,single,tertiary,no,no,yes
Basildon,41,admin.,single,tertiary,no,no,no
Sunderland,39,technician,single,secondary,no,yes,yes
Glasgow,29,student,single,secondary,no,no,yes
Newport,54,services,divorced,secondary,no,no,yes
Luton,34,technician,single,secondary,no,no,no
Nottingham,42,technician,married,tertiary,no,no,no
Sutton Coldfield,52,blue-collar,married,unknown,no,yes,yes
Aberdeen,57,technician,divorced,secondary,no,no,yes
London,30,self-employed,single,tertiary,no,no,yes
Poole,40,admin.,married,secondary,no,no,no
Southampton,49,management,married,tertiary,no,no,yes
London,28,services,single,secondary,no,yes,yes
Salford,38,blue-collar,single,tertiary,no,yes,yes
Halifax,67,management,married,tertiary,no,no,yes
Stevenage,55,retired,married,secondary,no,no,no
London,46,management,married,secondary,no,no,yes
Grimsby,57,entrepreneur,divorced,tertiary,no,no,no
Birmingham,26,technician,single,secondary,no,yes,no
Bristol,30,blue-collar,single,secondary,no,yes,no
Watford,47,technician,divorced,unknown,no,yes,no
Darlington,45,technician,divorced,secondary,no,no,yes
Glasgow,34,blue-collar,single,secondary,no,no,no
Woking,29,technician,single,tertiary,no,yes,no
Basildon,39,management,single,tertiary,no,yes,yes
Basingstoke,25,services,single,secondary,no,no,yes
Southampton,47,technician,divorced,tertiary,no,no,no
Chesterfield,34,services,single,secondary,no,yes,yes
Wolverhampton,42,blue-collar,married,secondary,no,yes,no
Nuneaton,45,unknown,married,unknown,no,no,no
Bedford,41,entrepreneur,single,primary,no,no,no
Glasgow,32,entrepreneur,married,tertiary,no,no,yes
Newcastle upon Tyne,32,admin.,married,secondary,no,yes,yes
Leeds,27,blue-collar,single,secondary,no,no,yes
Bath,53,management,divorced,tertiary,no,yes,no
Solihull,31,services,divorced,primary,no,yes,yes
St Helens,45,management,married,secondary,no,yes,no
York,48,admin.,married,secondary,no,no,yes
Liverpool,34,technician,divorced,secondary,no,yes,yes
Birkenhead,36,services,married,primary,no,yes,yes
London,28,student,single,tertiary,no,no,no
Sale,55,blue-collar,divorced,unknown,no,yes,no
Maidstone,58,retired,single,primary,no,no,no
Birmingham,31,technician,single,secondary,no,yes,no
Leicester,36,management,divorced,tertiary,no,no,no
London,32,blue-collar,married,secondary,no,no,no
Chelmsford,27,blue-collar,married,secondary,no,no,yes
Rochdale,22,housemaid,single,secondary,no,no,yes
Leicester,49,unemployed,married,secondary,no,yes,no
London,36,blue-collar,single,secondary,no,no,no
Southampton,32,blue-collar,married,secondary,no,yes,no
Birmingham,33,technician,married,secondary,no,no,no
Luton,46,blue-collar,married,secondary,no,no,no
Birmingham,25,blue-collar,single,secondary,no,no,yes
Peterborough,36,services,married,secondary,no,yes,no
Swindon,34,technician,married,secondary,no,yes,yes
Cheltenham,39,management,married,tertiary,no,yes,yes
Gateshead,33,services,single,unknown,no,yes,yes
Woking,28,management,single,tertiary,no,yes,yes
Eastbourne,38,technician,married,tertiary,no,no,yes
Gloucester,34,technician,married,secondary,no,no,no
Newport,65,retired,married,primary,no,no,yes
Glasgow,88,retired,married,primary,no,no,no
Chesterfield,58,retired,divorced,unknown,no,yes,no
Huddersfield,31,self-employed,married,tertiary,no,no,no
Preston,41,technician,married,secondary,no,no,no
Rochdale,31,services,single,secondary,no,yes,no
Halifax,37,management,married,tertiary,no,no,yes
Aberdeen,41,management,married,tertiary,no,yes,no
Sheffield,57,retired,married,tertiary,no,no,no
York,37,services,married,secondary,no,yes,no
Stevenage,46,technician,married,secondary,no,yes,yes
Exeter,34,admin.,married,secondary,no,no,no
Southampton,54,management,married,tertiary,no,no,no
Swindon,30,technician,married,secondary,no,yes,no
Exeter,34,technician,single,tertiary,no,yes,no
Maidstone,30,services,divorced,primary,no,yes,yes
Bradford,28,admin.,single,tertiary,no,yes,no
Worthing,34,technician,married,tertiary,no,yes,yes
Exeter,59,admin.,married,primary,no,yes,no
Hastings,26,admin.,married,secondary,no,yes,yes
Sale,41,self-employed,married,tertiary,no,yes,yes
Cardiff,35,technician,single,secondary,no,no,no
Chesterfield,58,management,divorced,primary,no,no,no
London,41,blue-collar,married,secondary,no,yes,no
Bristol,29,blue-collar,single,secondary,no,yes,no
Glasgow,50,self-employed,divorced,tertiary,no,yes,yes
Salford,71,retired,married,secondary,no,no,no
Bristol,41,management,married,tertiary,no,no,no
London,26,management,single,secondary,no,no,yes
Wigan,40,technician,single,secondary,no,yes,no
Blackpool,34,admin.,single,secondary,no,yes,no
Birmingham,61,retired,married,secondary,no,no,yes
Bedford,44,management,married,tertiary,no,yes,yes
Bristol,34,blue-collar,married,primary,no,yes,yes
Middlesbrough,37,technician,single,tertiary,no,no,yes
Warrington,31,unemployed,married,tertiary,no,no,yes
London,78,retired,married,unknown,no,no,yes
Basildon,22,student,single,secondary,no,no,yes
Nottingham,36,admin.,married,tertiary,no,yes,no
High Wycombe,44,blue-collar,married,secondary,no,yes,yes
Birmingham,45,services,divorced,secondary,no,yes,no
Manchester,46,blue-collar,married,secondary,no,no,no
Plymouth,45,self-employed,married,secondary,no,no,yes
Nuneaton,52,retired,married,tertiary,no,no,yes
Swindon,49,management,married,tertiary,no,yes,no
Lincoln,52,management,single,tertiary,no,no,no
Hemel Hempstead,51,technician,married,secondary,no,no,yes
Liverpool,33,management,married,tertiary,no,yes,no
Birmingham,30,admin.,married,tertiary,no,no,no
London,37,management,married,tertiary,no,no,yes
Manchester,30,management,single,tertiary,no,no,yes
Telford,32,management,single,tertiary,no,no,yes
Chesterfield,41,blue-collar,married,primary,no,yes,yes
Coventry,26,services,married,secondary,no,yes,yes
Bristol,72,retired,married,primary,no,no,yes
London,30,admin.,single,secondary,no,no,no
Gloucester,24,management,single,tertiary,no,no,yes
Glasgow,47,entrepreneur,married,secondary,no,no,yes
St Helens,38,blue-collar,divorced,secondary,no,yes,yes
Ipswich,26,student,single,secondary,no,no,yes
Brighton,29,management,single,tertiary,no,no,yes
Nuneaton,28,student,single,tertiary,no,no,no
Kingston upon Hull,36,management,divorced,tertiary,no,no,yes
Birmingham,25,services,single,secondary,no,no,yes
Newcastle upon Tyne,36,management,married,tertiary,no,no,yes
High Wycombe,38,blue-collar,married,primary,no,yes,no
Rochdale,62,entrepreneur,married,secondary,no,no,yes
York,74,retired,married,primary,no,no,yes
Huddersfield,70,retired,married,primary,no,no,yes
Stevenage,35,technician,divorced,secondary,no,yes,no
County Down,33,admin.,married,secondary,no,no,yes
Nottingham,30,services,married,secondary,no,yes,yes
